id,distractor,tv,reading,music,talking_phone,messaging,socnet,comp_video,other_comp,games,tv_socnet,tv_messaging,tv_comp_video,tv_other_comp,socnet_tv,socnet_messaging,socnet_comp_video,socnet_other_comp,messaging_tv,messaging_socnet,messaging_comp_video,messaging_other_comp,comp_video_tv,comp_video_socnet,comp_video_messaging,comp_video_other_comp,other_comp_tv,other_comp_socnet,other_comp_messaging,other_comp_comp_video,yob,gender,first_language,faculty,academic_performance,parents_qualification,navigation_tool,life1,life2,life3,recall_1,recall_2
1,absa,2-3 hours,30 minute to 1 hour,1-2 hours,Not at all,1-2 hours,1-2 hours,Less than 30 minutes,1-2 hours,2-3 hours,Very often,Very often,Never,Often,Often,Often,Never,Often,Very often,Very often,Sometimes,Often,Never,Often,Very often,Sometimes,Very often,Often,Often,Sometimes,1996,Female,English,Arts and Social Sciences,75-80%,University - Masters or PhD,Mouse,6,26,24,Absa,Shared growth
3,absa,1-2 hours,30 minute to 1 hour,Less than 30 minutes,Less than 30 minutes,30 minute to 1 hour,1-2 hours,1-2 hours,1-2 hours,Not at all,Very often,Often,Never,Never,Often,Often,Often,Sometimes,Often,Often,Sometimes,Never,Never,Often,Often,Never,Never,Often,Sometimes,Sometimes,1990,Male,Other European language,Arts and Social Sciences,55-60%,University - Masters or PhD,Touch pad,21,37,4,Absa,Personal growth
4,absa,Less than 30 minutes,Less than 30 minutes,1-2 hours,Less than 30 minutes,1-2 hours,30 minute to 1 hour,1-2 hours,30 minute to 1 hour,Less than 30 minutes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,1995,Male,Other European language,Arts and Social Sciences,60-65%,Matric,Touch pad,6,38,28,Absa,Capital growth
5,absa,30 minute to 1 hour,1-2 hours,30 minute to 1 hour,Less than 30 minutes,2-3 hours,2-3 hours,1-2 hours,1-2 hours,Not at all,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Never,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,1995,Female,English,Arts and Social Sciences,70-75%,Matric,Mouse,23,26,14,Absa,Personal growth
6,absa,Not at all,2-3 hours,30 minute to 1 hour,Less than 30 minutes,3 hours or more,Not at all,2-3 hours,3 hours or more,Not at all,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very often,Very often,Never,Sometimes,Very often,Often,Never,Very often,Very often,Never,1994,Male,Afrikaans,Science,70-75%,University - Bachelors,Mouse,34,31,47,Absa,Personal growth
7,absa,30 minute to 1 hour,3 hours or more,Not at all,30 minute to 1 hour,3 hours or more,3 hours or more,1-2 hours,Less than 30 minutes,Not at all,Often,Often,Sometimes,Never,Often,Often,Sometimes,Never,Often,Often,Sometimes,Never,Often,Often,Sometimes,Never,Often,Often,Sometimes,Never,1985,Female,Afrikaans,Arts and Social Sciences,65-70%,Primary School,Mouse,9,4,32,Absa,Personal growth
8,absa,Not at all,Not at all,2-3 hours,Less than 30 minutes,30 minute to 1 hour,Not at all,1-2 hours,1-2 hours,30 minute to 1 hour,Sometimes,Often,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Often,Sometimes,Never,Never,Often,Never,Sometimes,Sometimes,Very often,Sometimes,1993,Female,Afrikaans,Engineering,55-60%,University - Bachelors,Touch pad,23,14,31,Absa,Personal growth
9,absa,Less than 30 minutes,30 minute to 1 hour,Less than 30 minutes,30 minute to 1 hour,30 minute to 1 hour,1-2 hours,Less than 30 minutes,30 minute to 1 hour,Not at all,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Never,Often,Often,Never,Sometimes,Sometimes,Often,Never,1998,Female,English,Law,70-75%,University - Bachelors,Touch pad,14,4,8,FNB,Personal growth
10,absa,30 minute to 1 hour,30 minute to 1 hour,30 minute to 1 hour,Less than 30 minutes,1-2 hours,1-2 hours,1-2 hours,30 minute to 1 hour,Not at all,Often,Very often,Sometimes,Often,Often,Often,Often,Often,Often,Often,Often,Often,Sometimes,Often,Often,Often,Sometimes,Often,Often,Often,1997,Male,English,Law,65-70%,University - Honours,Touch pad,22,24,24,Absa,Personal growth
11,absa,30 minute to 1 hour,1-2 hours,2-3 hours,Less than 30 minutes,2-3 hours,2-3 hours,1-2 hours,1-2 hours,Less than 30 minutes,Very often,Very often,Never,Often,Very often,Very often,Very often,Often,Very often,Very often,Very often,Often,Never,Often,Often,Often,Very often,Often,Often,Sometimes,1992,Female,Afrikaans,Education,70-75%,Matric,Touch pad,19,26,43,Absa,Shared growth
12,absa,Not at all,3 hours or more,3 hours or more,1-2 hours,1-2 hours,1-2 hours,3 hours or more,30 minute to 1 hour,Not at all,Never,Never,Never,Never,Never,Often,Often,Sometimes,Never,Often,Often,Often,Never,Sometimes,Sometimes,Sometimes,Never,Often,Often,Often,1996,Female,Other African language,Economic and Management Sciences,65-70%,University - Bachelors,Mouse,28,31,19,Absa,Shared growth
13,absa,Not at all,Less than 30 minutes,2-3 hours,Less than 30 minutes,3 hours or more,2-3 hours,2-3 hours,Less than 30 minutes,Not at all,Often,Often,Often,Often,Often,Often,Sometimes,Often,Often,Often,Never,Often,Never,Often,Often,Often,Often,Often,Often,Often,1994,Female,English,Engineering,70-75%,University - Bachelors,Touch pad,9,17,19,Nedbank,Shared growth
14,absa,Not at all,Less than 30 minutes,1-2 hours,Less than 30 minutes,2-3 hours,1-2 hours,3 hours or more,3 hours or more,30 minute to 1 hour,Often,Often,Never,Sometimes,Often,Never,Often,Never,Often,Never,Never,Never,Sometimes,Often,Often,Often,Never,Never,Sometimes,Never,1994,Male,Afrikaans,Engineering,55-60%,University - Masters or PhD,Touch pad,37,40,63,Absa,Personal growth
15,absa,Not at all,1-2 hours,Less than 30 minutes,Less than 30 minutes,Less than 30 minutes,Not at all,1-2 hours,2-3 hours,Not at all,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,Often,Sometimes,1994,Male,English,Law,60-65%,University - Masters or PhD,Touch pad,28,48,11,Absa,Shared growth
